"질문","답변"
"2025-1학기 수강신청(재학생 1차), 등록, 폐강 공고의 전체 일정은 언제부터 언제까지야?","2025-1학기 수강신청(재학생 1차)은 2025년 2월 5일부터 2월 7일까지, 등록은 2025년 2월 19일부터 2월 24일까지, 폐강 공고는 2025년 2월 28일입니다. 전체 일정은 2월 5일부터 2월 28일까지로 총 24일입니다."
"2025-하계 계절수업, 성적입력 기간, 성적 확인, 이의신청 및 정정 기간, 성적 확정 중 가장 늦게 끝나는 건 뭐야?","2025-하계 계절수업은 2025년 7월 9일, 성적입력 기간은 2025년 7월 12일, 성적 확인, 이의신청 및 정정 기간은 2025년 7월 16일, 성적 확정은 2025년 7월 17일에 끝납니다. 성적 확정이 가장 늦게 끝납니다."
"2025-2학기 수강신청 정정 및 취소, 수강포기, 중간고사의 순서를 알려줘.","2025-2학기 수강신청 정정 및 취소는 2025년 9월 1일부터 9월 7일까지, 수강포기는 2025년 9월 18일부터 9월 19일까지, 중간고사는 2025년 10월 20일부터 10월 26일까지입니다. 순서는 수강신청 정정 및 취소 → 수강포기 → 중간고사입니다."
"2025-1학기 장바구니 수강신청 1차(재학생), 수강신청(재학생 2차), 등록 중 가장 긴 기간은 뭐야?","2025-1학기 장바구니 수강신청 1차(재학생)은 2025년 1월 31일부터 2월 3일까지(4일), 수강신청(재학생 2차)은 2025년 2월 20일(1일), 등록은 2025년 2월 19일부터 2월 24일까지(6일)입니다. 등록이 가장 긴 6일입니다."
"2025-2학기 중간고사, 기말고사, 성적확인은 겹치나?","2025-2학기 중간고사는 2025년 10월 20일부터 10월 26일까지, 기말고사는 2025년 12월 8일부터 12월 14일까지, 성적확인은 2025년 12월 30일부터 2026년 1월 3일까지입니다. 세 기간은 겹치지 않습니다."
"2025-1학기 교차수강신청(서울↔천안), 수강신청(신·편입생), 등록의 전체 기간은?","2025-1학기 교차수강신청(서울↔천안)은 2025년 2월 11일부터 2월 12일까지, 수강신청(신·편입생)은 2025년 2월 18일부터 2월 20일까지, 등록은 2025년 2월 19일부터 2월 24일까지입니다. 전체 기간은 2월 11일부터 2월 24일까지로 총 14일입니다."
"2025-하계 계절수업, 성적입력 기간, 성적 확정 중 가장 빨리 끝나는 건 뭐야?","2025-하계 계절수업은 2025년 7월 9일, 성적입력 기간은 2025년 7월 12일, 성적 확정은 2025년 7월 17일에 끝납니다. 하계 계절수업이 가장 빨리 끝납니다."
"2025-2학기 등록, 수강신청 정정 및 취소, 중간고사의 순서를 알려줘.","2025-2학기 등록은 2025년 8월 22일부터 8월 26일까지, 수강신청 정정 및 취소는 2025년 9월 1일부터 9월 7일까지, 중간고사는 2025년 10월 20일부터 10월 26일까지입니다. 순서는 등록 → 수강신청 정정 및 취소 → 중간고사입니다."
"2025-1학기 중간강의평가, 기말강의평가, 성적확정 중 가장 긴 기간은 뭐야?","2025-1학기 중간강의평가는 2025년 4월 7일부터 4월 30일까지(24일), 기말강의평가는 2025년 6월 2일부터 7월 5일까지(34일), 성적확정은 2025년 7월 10일(1일)입니다. 기말강의평가가 가장 긴 34일입니다."
"2025-2학기 개강, 중간고사, 기말강의평가가 겹치나?","2025-2학기 개강은 2025년 9월 1일, 중간고사는 2025년 10월 20일부터 10월 26일까지, 기말강의평가는 2025년 12월 1일부터 2026년 1월 3일까지입니다. 세 기간은 겹치지 않습니다."
"2025-1학기 장바구니 수강신청 1차(재학생), 수강신청(재학생 1차), 폐강 공고의 전체 일정은 언제부터 언제까지야?","2025-1학기 장바구니 수강신청 1차(재학생)은 2025년 1월 31일부터 2월 3일까지, 수강신청(재학생 1차)은 2025년 2월 5일부터 2월 7일까지, 폐강 공고는 2025년 2월 28일입니다. 전체 일정은 1월 31일부터 2월 28일까지로 총 29일입니다."
"2025-하계 계절수업, 성적입력 기간, 성적 확인, 이의신청 및 정정 기간 중 가장 늦게 시작하는 건 뭐야?","2025-하계 계절수업은 2025년 6월 24일, 성적입력 기간은 2025년 7월 9일, 성적 확인, 이의신청 및 정정 기간은 2025년 7월 15일에 시작합니다. 성적 확인, 이의신청 및 정정 기간이 가장 늦게 시작합니다."
"2025-2학기 수강신청(재학생 1차), 등록, 수강신청 정정 및 취소의 순서를 알려줘.","2025-2학기 수강신청(재학생 1차)은 2025년 7월 23일부터 7월 25일까지, 등록은 2025년 8월 22일부터 8월 26일까지, 수강신청 정정 및 취소는 2025년 9월 1일부터 9월 7일까지입니다. 순서는 수강신청(재학생 1차) → 등록 → 수강신청 정정 및 취소입니다."
"2025-1학기 폐강 공고, 개강, 중간고사 중 가장 긴 기간은 뭐야?","2025-1학기 폐강 공고는 2025년 2월 28일(1일), 개강은 2025년 3월 4일(1일), 중간고사는 2025년 4월 22일부터 4월 28일까지(7일)입니다. 중간고사가 가장 긴 7일입니다."
"2025-2학기 중간고사, 기말고사, 성적확정은 겹치나?","2025-2학기 중간고사는 2025년 10월 20일부터 10월 26일까지, 기말고사는 2025년 12월 8일부터 12월 14일까지, 성적확정은 2026년 1월 8일입니다. 세 기간은 겹치지 않습니다."
"2025-1학기 수강신청(재학생 2차), 등록, 개강의 전체 일정은 언제부터 언제까지야?","2025-1학기 수강신청(재학생 2차)은 2025년 2월 20일, 등록은 2025년 2월 19일부터 2월 24일까지, 개강은 2025년 3월 4일입니다. 전체 일정은 2월 19일부터 3월 4일까지로 총 14일입니다."
"2025-하계 계절수업, 성적입력 기간, 성적 확정 중 가장 빨리 끝나는 건 뭐야?","2025-하계 계절수업은 2025년 7월 9일, 성적입력 기간은 2025년 7월 12일, 성적 확정은 2025년 7월 17일에 끝납니다. 하계 계절수업이 가장 빨리 끝납니다."
"2025-2학기 수강신청 정정 및 취소, 중간고사, 기말고사의 순서를 알려줘.","2025-2학기 수강신청 정정 및 취소는 2025년 9월 1일부터 9월 7일까지, 중간고사는 2025년 10월 20일부터 10월 26일까지, 기말고사는 2025년 12월 8일부터 12월 14일까지입니다. 순서는 수강신청 정정 및 취소 → 중간고사 → 기말고사입니다."
"2025-1학기 중간강의평가, 기말강의평가, 성적입력 중 가장 긴 기간은 뭐야?","2025-1학기 중간강의평가는 2025년 4월 7일부터 4월 30일까지(24일), 기말강의평가는 2025년 6월 2일부터 7월 5일까지(34일), 성적입력은 2025년 6월 9일부터 6월 29일까지(21일)입니다. 기말강의평가가 가장 긴 34일입니다."
"2025-2학기 개강, 중간고사, 성적입력은 겹치나?","2025-2학기 개강은 2025년 9월 1일, 중간고사는 2025년 10월 20일부터 10월 26일까지, 성적입력은 2025년 12월 9일부터 12월 28일까지입니다. 세 기간은 겹치지 않습니다."
"2025-1학기 장바구니 수강신청 1차(재학생), 수강신청(재학생 1차), 등록의 전체 일정은 언제부터 언제까지야?","2025-1학기 장바구니 수강신청 1차(재학생)은 2025년 1월 31일부터 2월 3일까지, 수강신청(재학생 1차)은 2025년 2월 5일부터 2월 7일까지, 등록은 2025년 2월 19일부터 2월 24일까지입니다. 전체 일정은 1월 31일부터 2월 24일까지로 총 25일입니다."
"2025-하계 계절수업, 성적입력 기간, 성적 확인, 이의신청 및 정정 기간 중 가장 늦게 끝나는 건 뭐야?","2025-하계 계절수업은 2025년 7월 9일, 성적입력 기간은 2025년 7월 12일, 성적 확인, 이의신청 및 정정 기간은 2025년 7월 16일에 끝납니다. 성적 확인, 이의신청 및 정정 기간이 가장 늦게 끝납니다."
"2025-2학기 수강신청(재학생 1차), 교차수강신청(서울↔천안), 수강신청(재학생 2차)의 순서를 알려줘.","2025-2학기 수강신청(재학생 1차)은 2025년 7월 23일부터 7월 25일까지, 교차수강신청(서울↔천안)은 2025년 8월 5일부터 8월 6일까지, 수강신청(재학생 2차)은 2025년 8월 21일입니다. 순서는 수강신청(재학생 1차) → 교차수강신청(서울↔천안) → 수강신청(재학생 2차)입니다."
"2025-1학기 교차수강신청(서울↔천안), 수강신청(신·편입생), 폐강 공고 중 가장 긴 기간은 뭐야?","2025-1학기 교차수강신청(서울↔천안)은 2025년 2월 11일부터 2월 12일까지(2일), 수강신청(신·편입생)은 2025년 2월 18일부터 2월 20일까지(3일), 폐강 공고는 2025년 2월 28일(1일)입니다. 수강신청(신·편입생)이 가장 긴 3일입니다."
"2025-2학기 등록, 수강신청 정정 및 취소, 중간고사는 겹치나?","2025-2학기 등록은 2025년 8월 22일부터 8월 26일까지, 수강신청 정정 및 취소는 2025년 9월 1일부터 9월 7일까지, 중간고사는 2025년 10월 20일부터 10월 26일까지입니다. 세 기간은 겹치지 않습니다."
"2025-1학기 수강신청(재학생 1차), 교차수강신청(서울↔천안), 등록의 전체 일정은 언제부터 언제까지야?","2025-1학기 수강신청(재학생 1차)은 2025년 2월 5일부터 2월 7일까지, 교차수강신청(서울↔천안)은 2025년 2월 11일부터 2월 12일까지, 등록은 2025년 2월 19일부터 2월 24일까지입니다. 전체 일정은 2월 5일부터 2월 24일까지로 총 20일입니다."
"2025-하계 계절수업, 성적입력 기간, 성적 확인, 이의신청 및 정정 기간 중 가장 빨리 시작하는 건 뭐야?","2025-하계 계절수업은 2025년 6월 24일, 성적입력 기간은 2025년 7월 9일, 성적 확인, 이의신청 및 정정 기간은 2025년 7월 15일에 시작합니다. 하계 계절수업이 가장 빨리 시작합니다."
"2025-2학기 개강, 수강신청 정정 및 취소, 수강포기의 순서를 알려줘.","2025-2학기 개강은 2025년 9월 1일, 수강신청 정정 및 취소는 2025년 9월 1일부터 9월 7일까지, 수강포기는 2025년 9월 18일부터 9월 19일까지입니다. 순서는 개강 → 수강신청 정정 및 취소 → 수강포기입니다."
"2025-1학기 중간고사, 기말고사, 성적입력 중 가장 긴 기간은 뭐야?","2025-1학기 중간고사는 2025년 4월 22일부터 4월 28일까지(7일), 기말고사는 2025년 6월 10일부터 6월 16일까지(7일), 성적입력은 2025년 6월 9일부터 6월 29일까지(21일)입니다. 성적입력이 가장 긴 21일입니다."
"2025-2학기 중간강의평가, 기말강의평가, 성적확인은 겹치나?","2025-2학기 중간강의평가는 2025년 10월 10일부터 10월 31일까지, 기말강의평가는 2025년 12월 1일부터 2026년 1월 3일까지, 성적확인은 2025년 12월 30일부터 2026년 1월 3일까지입니다. 기말강의평가와 성적확인이 12월 30일부터 1월 3일까지 겹칩니다."
"2025-1학기 장바구니 수강신청 1차(재학생), 수강신청(재학생 2차), 교차수강신청(서울↔천안)의 전체 일정은 언제부터 언제까지야?","2025-1학기 장바구니 수강신청 1차(재학생)은 2025년 1월 31일부터 2월 3일까지, 수강신청(재학생 2차)은 2025년 2월 20일, 교차수강신청(서울↔천안)은 2025년 2월 11일부터 2월 12일까지입니다. 전체 일정은 1월 31일부터 2월 20일까지로 총 21일입니다."
"2025-하계 계절수업, 성적입력 기간, 성적 확인, 이의신청 및 정정 기간 중 가장 늦게 끝나는 건 뭐야?","2025-하계 계절수업은 2025년 7월 9일, 성적입력 기간은 2025년 7월 12일, 성적 확인, 이의신청 및 정정 기간은 2025년 7월 16일에 끝납니다. 성적 확인, 이의신청 및 정정 기간이 가장 늦게 끝납니다."
"2025-2학기 수강신청(재학생 1차), 교차수강신청(서울↔천안), 등록의 순서를 알려줘.","2025-2학기 수강신청(재학생 1차)은 2025년 7월 23일부터 7월 25일까지, 교차수강신청(서울↔천안)은 2025년 8월 5일부터 8월 6일까지, 등록은 2025년 8월 22일부터 8월 26일까지입니다. 순서는 수강신청(재학생 1차) → 교차수강신청(서울↔천안) → 등록입니다."
"2025-1학기 장바구니 수강신청 1차(재학생), 수강신청(재학생 1차), 교차수강신청(서울↔천안) 중 가장 빨리 시작하는 건 뭐야?","2025-1학기 장바구니 수강신청 1차(재학생)은 2025년 1월 31일, 수강신청(재학생 1차)은 2025년 2월 5일, 교차수강신청(서울↔천안)은 2025년 2월 11일에 시작합니다. 장바구니 수강신청 1차(재학생)이 가장 빨리 시작합니다."
"2025-2학기 등록, 수강신청 정정 및 취소, 중간고사, 기말고사의 전체 기간은 언제부터 언제까지야?","2025-2학기 등록은 2025년 8월 22일부터 8월 26일까지, 수강신청 정정 및 취소는 2025년 9월 1일부터 9월 7일까지, 중간고사는 2025년 10월 20일부터 10월 26일까지, 기말고사는 2025년 12월 8일부터 12월 14일까지입니다. 전체 기간은 2025년 8월 22일부터 12월 14일까지로 총 115일입니다."
"2025-1학기 폐강 공고, 개강, 수강신청 정정 및 취소가 겹치나?","2025-1학기 폐강 공고는 2025년 2월 28일, 개강은 2025년 3월 4일, 수강신청 정정 및 취소는 2025년 3월 4일부터 3월 10일까지입니다. 개강과 수강신청 정정 및 취소가 3월 4일에 겹칩니다."
"2025-2학기 중간고사, 기말고사, 성적확정의 순서를 알려줘.","2025-2학기 중간고사는 2025년 10월 20일부터 10월 26일까지, 기말고사는 2025년 12월 8일부터 12월 14일까지, 성적확정은 2026년 1월 8일입니다. 순서는 중간고사 → 기말고사 → 성적확정입니다."
"2025-1학기 중간강의평가, 기말강의평가, 성적확정 중 가장 늦게 끝나는 건 뭐야?","2025-1학기 중간강의평가는 2025년 4월 30일, 기말강의평가는 2025년 7월 5일, 성적확정은 2025년 7월 10일에 끝납니다. 성적확정이 가장 늦게 끝납니다."
"2025-2학기 수강신청(재학생 1차), 교차수강신청(서울↔천안), 수강신청(재학생 2차), 등록 중 가장 긴 기간은 뭐야?","2025-2학기 수강신청(재학생 1차)은 2025년 7월 23일부터 7월 25일까지(3일), 교차수강신청(서울↔천안)은 2025년 8월 5일부터 8월 6일까지(2일), 수강신청(재학생 2차)은 2025년 8월 21일(1일), 등록은 2025년 8월 22일부터 8월 26일까지(5일)입니다. 등록이 가장 긴 5일입니다."
"2025-1학기 수강신청 정정 및 취소, 수강포기, 중간강의평가의 전체 기간은 언제부터 언제까지야?","2025-1학기 수강신청 정정 및 취소는 2025년 3월 4일부터 3월 10일까지, 수강포기는 2025년 3월 18일부터 3월 20일까지, 중간강의평가는 2025년 4월 7일부터 4월 30일까지입니다. 전체 기간은 2025년 3월 4일부터 4월 30일까지로 총 58일입니다."
"2025-2학기 개강, 중간고사, 기말고사, 성적입력 중 가장 늦게 끝나는 건 뭐야?","2025-2학기 개강은 2025년 9월 1일, 중간고사는 2025년 10월 26일, 기말고사는 2025년 12월 14일, 성적입력은 2025년 12월 28일에 끝납니다. 성적입력이 가장 늦게 끝납니다."
"2025-1학기 장바구니 수강신청 1차(재학생), 수강신청(재학생 1차), 등록, 폐강 공고의 순서를 알려줘.","2025-1학기 장바구니 수강신청 1차(재학생)은 2025년 1월 31일부터, 수강신청(재학생 1차)은 2025년 2월 5일부터, 등록은 2025년 2월 19일부터, 폐강 공고는 2025년 2월 28일입니다. 순서는 장바구니 수강신청 1차(재학생) → 수강신청(재학생 1차) → 등록 → 폐강 공고입니다."
"2025-2학기 수강신청 정정 및 취소, 수강포기, 중간고사, 기말고사가 겹치나?","2025-2학기 수강신청 정정 및 취소는 2025년 9월 1일부터 9월 7일까지, 수강포기는 2025년 9월 18일부터 9월 19일까지, 중간고사는 2025년 10월 20일부터 10월 26일까지, 기말고사는 2025년 12월 8일부터 12월 14일까지입니다. 네 기간은 서로 겹치지 않습니다."
"2025-1학기 중간고사, 기말고사, 자율보강(기말고사)주간의 전체 기간은 언제부터 언제까지야?","2025-1학기 중간고사는 2025년 4월 22일부터 4월 28일까지, 기말고사는 2025년 6월 10일부터 6월 16일까지, 자율보강(기말고사)주간은 2025년 6월 17일부터 6월 23일까지입니다. 전체 기간은 2025년 4월 22일부터 6월 23일까지로 총 63일입니다."
"2025-2학기 등록, 개강, 중간강의평가 중 가장 빨리 시작하는 건 뭐야?","2025-2학기 등록은 2025년 8월 22일, 개강은 2025년 9월 1일, 중간강의평가는 2025년 10월 10일에 시작합니다. 등록이 가장 빨리 시작합니다."
"2025-1학기 수강신청(재학생 1차), 교차수강신청(서울↔천안), 수강신청(신·편입생), 등록 중 가장 긴 기간은 뭐야?","2025-1학기 수강신청(재학생 1차)은 2025년 2월 5일부터 2월 7일까지(3일), 교차수강신청(서울↔천안)은 2025년 2월 11일부터 2월 12일까지(2일), 수강신청(신·편입생)은 2025년 2월 18일부터 2월 20일까지(3일), 등록은 2025년 2월 19일부터 2월 24일까지(6일)입니다. 등록이 가장 긴 6일입니다."
"2025-2학기 중간고사, 기말고사, 성적입력, 성적확정의 전체 기간은 언제부터 언제까지야?","2025-2학기 중간고사는 2025년 10월 20일부터 10월 26일까지, 기말고사는 2025년 12월 8일부터 12월 14일까지, 성적입력은 2025년 12월 9일부터 12월 28일까지, 성적확인은 2025년 12월 30일부터 2026년 1월 3일까지입니다. 전체 기간은 2025년 10월 20일부터 2026년 1월 3일까지로 총 76일입니다."
"2025-1학기 폐강 공고, 개강, 중간고사, 기말고사의 순서를 알려줘.","2025-1학기 폐강 공고는 2025년 2월 28일, 개강은 2025년 3월 4일, 중간고사는 2025년 4월 22일부터, 기말고사는 2025년 6월 10일부터입니다. 순서는 폐강 공고 → 개강 → 중간고사 → 기말고사입니다."
"2025-2학기 수강신청(재학생 1차), 교차수강신청(서울↔천안), 등록, 개강이 겹치나?","2025-2학기 수강신청(재학생 1차)은 2025년 7월 23일부터 7월 25일까지, 교차수강신청(서울↔천안)은 2025년 8월 5일부터 8월 6일까지, 등록은 2025년 8월 22일부터 8월 26일까지, 개강은 2025년 9월 1일입니다. 네 기간은 겹치지 않습니다."
"2025-1학기 장바구니 수강신청 1차(재학생), 수강신청(재학생 1차), 교차수강신청(서울↔천안), 수강신청(신·편입생)의 전체 기간은?","2025-1학기 장바구니 수강신청 1차(재학생)은 2025년 1월 31일부터 2월 3일까지, 수강신청(재학생 1차)은 2025년 2월 5일부터 2월 7일까지, 교차수강신청(서울↔천안)은 2025년 2월 11일부터 2월 12일까지, 수강신청(신·편입생)은 2025년 2월 18일부터 2월 20일까지입니다. 전체 기간은 2025년 1월 31일부터 2월 20일까지로 총 21일입니다."
"2025-2학기 중간강의평가, 기말강의평가, 성적확정 중 가장 늦게 끝나는 건 뭐야?","2025-2학기 중간강의평가는 2025년 10월 31일, 기말강의평가는 2026년 1월 3일, 성적확정은 2026년 1월 8일에 끝납니다. 성적확정이 가장 늦게 끝납니다."
"2025-1학기 수강신청 정정 및 취소, 중간고사, 기말고사, 성적입력의 순서를 알려줘.","2025-1학기 수강신청 정정 및 취소는 2025년 3월 4일부터, 중간고사는 2025년 4월 22일부터, 기말고사는 2025년 6월 10일부터, 성적입력은 2025년 6월 9일부터입니다. 순서는 수강신청 정정 및 취소 → 중간고사 → 기말고사 → 성적입력입니다."
"2025-2학기 등록, 개강, 수강신청 정정 및 취소, 수강포기 중 가장 긴 기간은 뭐야?","2025-2학기 등록은 2025년 8월 22일부터 8월 26일까지(5일), 개강은 2025년 9월 1일(1일), 수강신청 정정 및 취소는 2025년 9월 1일부터 9월 7일까지(7일), 수강포기는 2025년 9월 18일부터 9월 19일까지(2일)입니다. 수강신청 정정 및 취소가 가장 긴 7일입니다."
"2025-1학기 중간강의평가, 기말강의평가, 성적입력, 성적확정의 전체 기간은 언제부터 언제까지야?","2025-1학기 중간강의평가는 2025년 4월 7일부터 4월 30일까지, 기말강의평가는 2025년 6월 2일부터 7월 5일까지, 성적입력은 2025년 6월 9일부터 6월 29일까지, 성적확정은 2025년 7월 10일입니다. 전체 기간은 2025년 4월 7일부터 7월 10일까지로 총 95일입니다."
"2025-2학기 수강신청(재학생 1차), 교차수강신청(서울↔천안), 등록 중 가장 빨리 끝나는 건 뭐야?","2025-2학기 수강신청(재학생 1차)은 2025년 7월 25일, 교차수강신청(서울↔천안)은 2025년 8월 6일, 등록은 2025년 8월 26일에 끝납니다. 수강신청(재학생 1차)이 가장 빨리 끝납니다."
"2025-1학기 장바구니 수강신청 1차(재학생), 수강신청(재학생 1차), 수강신청(신·편입생), 등록이 겹치나?","2025-1학기 장바구니 수강신청 1차(재학생)은 2025년 1월 31일부터 2월 3일까지, 수강신청(재학생 1차)은 2025년 2월 5일부터 2월 7일까지, 수강신청(신·편입생)은 2025년 2월 18일부터 2월 20일까지, 등록은 2025년 2월 19일부터 2월 24일까지입니다. 수강신청(신·편입생)과 등록이 2월 19일부터 20일까지 겹칩니다."
"2025-2학기 중간고사, 기말고사, 자율보강(기말고사)주간, 성적확정의 순서를 알려줘.","2025-2학기 중간고사는 2025년 10월 20일부터, 기말고사는 2025년 12월 8일부터, 자율보강(기말고사)주간은 2025년 12월 15일부터, 성적확정은 2026년 1월 8일입니다. 순서는 중간고사 → 기말고사 → 자율보강(기말고사)주간 → 성적확정입니다."
"2025-1학기 수강신청 정정 및 취소, 수강포기, 중간고사, 기말고사의 전체 기간은 언제부터 언제까지야?","2025-1학기 수강신청 정정 및 취소는 2025년 3월 4일부터 3월 10일까지, 수강포기는 2025년 3월 18일부터 3월 20일까지, 중간고사는 2025년 4월 22일부터 4월 28일까지, 기말고사는 2025년 6월 10일부터 6월 16일까지입니다. 전체 기간은 2025년 3월 4일부터 6월 16일까지로 총 105일입니다."
"2025-2학기 등록, 개강, 중간고사, 기말고사 중 가장 늦게 끝나는 건 뭐야?","2025-2학기 등록은 2025년 8월 26일, 개강은 2025년 9월 1일, 중간고사는 2025년 10월 26일, 기말고사는 2025년 12월 14일에 끝납니다. 기말고사가 가장 늦게 끝납니다."
"2025-1학기 장바구니 수강신청 1차(재학생), 수강신청(재학생 1차), 교차수강신청(서울↔천안) 중 가장 긴 기간은 뭐야?","2025-1학기 장바구니 수강신청 1차(재학생)은 2025년 1월 31일부터 2월 3일까지(4일), 수강신청(재학생 1차)은 2025년 2월 5일부터 2월 7일까지(3일), 교차수강신청(서울↔천안)은 2025년 2월 11일부터 2월 12일까지(2일)입니다. 장바구니 수강신청 1차가 가장 긴 4일입니다."
"2025-2학기 수강신청 정정 및 취소, 수강포기, 중간강의평가, 기말강의평가가 겹치나?","2025-2학기 수강신청 정정 및 취소는 2025년 9월 1일부터 9월 7일까지, 수강포기는 2025년 9월 18일부터 9월 19일까지, 중간강의평가는 2025년 10월 10일부터 10월 31일까지, 기말강의평가는 2025년 12월 1일부터 2026년 1월 3일까지입니다. 네 기간은 겹치지 않습니다."
"2025-1학기 중간고사, 기말고사, 성적입력, 성적확정의 순서를 알려줘.","2025-1학기 중간고사는 2025년 4월 22일부터, 기말고사는 2025년 6월 10일부터, 성적입력은 2025년 6월 9일부터, 성적확정은 2025년 7월 10일입니다. 순서는 중간고사 → 기말고사 → 성적입력 → 성적확정입니다."
"2025-2학기 개강, 중간고사, 기말고사, 성적확정 중 가장 빨리 시작하는 건 뭐야?","2025-2학기 개강은 2025년 9월 1일, 중간고사는 2025년 10월 20일, 기말고사는 2025년 12월 8일, 성적확정은 2026년 1월 8일에 시작합니다. 개강이 가장 빨리 시작합니다."
"2025-1학기 수강신청(재학생 1차), 교차수강신청(서울↔천안), 수강신청(신·편입생), 폐강 공고의 전체 기간은 언제부터 언제까지야?","2025-1학기 수강신청(재학생 1차)은 2025년 2월 5일부터 2월 7일까지, 교차수강신청(서울↔천안)은 2025년 2월 11일부터 2월 12일까지, 수강신청(신·편입생)은 2025년 2월 18일부터 2월 20일까지, 폐강 공고는 2025년 2월 28일입니다. 전체 기간은 2025년 2월 5일부터 2월 28일까지로 총 24일입니다."
"2025-2학기 중간강의평가, 기말강의평가, 성적입력, 성적확정 중 가장 긴 기간은 뭐야?","2025-2학기 중간강의평가는 2025년 10월 10일부터 10월 31일까지(22일), 기말강의평가는 2025년 12월 1일부터 2026년 1월 3일까지(34일), 성적입력은 2025년 12월 9일부터 12월 28일까지(20일), 성적확정은 2026년 1월 8일(1일)입니다. 기말강의평가가 가장 긴 34일입니다."
"2025-1학기 장바구니 수강신청 1차(재학생), 수강신청(재학생 1차), 수강신청(신·편입생), 등록 중 가장 늦게 끝나는 건 뭐야?","2025-1학기 장바구니 수강신청 1차(재학생)은 2025년 2월 3일, 수강신청(재학생 1차)은 2025년 2월 7일, 수강신청(신·편입생)은 2025년 2월 20일, 등록은 2025년 2월 24일에 끝납니다. 등록이 가장 늦게 끝납니다."
"2025-2학기 수강신청 정정 및 취소, 수강포기, 중간고사, 성적입력의 전체 기간은 언제부터 언제까지야?","2025-2학기 수강신청 정정 및 취소는 2025년 9월 1일부터 9월 7일까지, 수강포기는 2025년 9월 18일부터 9월 19일까지, 중간고사는 2025년 10월 20일부터 10월 26일까지, 성적입력은 2025년 12월 9일부터 12월 28일까지입니다. 전체 기간은 2025년 9월 1일부터 12월 28일까지로 총 119일입니다."
"2025-1학기 중간고사, 기말고사, 자율보강(기말고사)주간, 성적확정 중 가장 빨리 시작하는 건 뭐야?","2025-1학기 중간고사는 2025년 4월 22일, 기말고사는 2025년 6월 10일, 자율보강(기말고사)주간은 2025년 6월 17일, 성적확정은 2025년 7월 10일에 시작합니다. 중간고사가 가장 빨리 시작합니다."
"2025-2학기 등록, 개강, 수강신청 정정 및 취소, 중간고사의 순서를 알려줘.","2025-2학기 등록은 2025년 8월 22일부터, 개강은 2025년 9월 1일, 수강신청 정정 및 취소는 2025년 9월 1일부터, 중간고사는 2025년 10월 20일부터입니다. 순서는 등록 → 개강 → 수강신청 정정 및 취소 → 중간고사입니다."
"2025-1학기 수강신청(재학생 1차), 교차수강신청(서울↔천안), 수강신청(신·편입생), 등록이 겹치나?","2025-1학기 수강신청(재학생 1차)은 2025년 2월 5일부터 2월 7일까지, 교차수강신청(서울↔천안)은 2025년 2월 11일부터 2월 12일까지, 수강신청(신·편입생)은 2025년 2월 18일부터 2월 20일까지, 등록은 2025년 2월 19일부터 2월 24일까지입니다. 수강신청(신·편입생)과 등록이 2월 19일부터 20일까지 겹칩니다."
"2025-2학기 중간고사, 기말고사, 성적입력, 성적확정 중 가장 늦게 끝나는 건 뭐야?","2025-2학기 중간고사는 2025년 10월 26일, 기말고사는 2025년 12월 14일, 성적입력은 2025년 12월 28일, 성적확정은 2026년 1월 8일에 끝납니다. 성적확정이 가장 늦게 끝납니다."
"2025-1학기 장바구니 수강신청 1차(재학생), 수강신청(재학생 1차), 교차수강신청(서울↔천안), 수강신청(신·편입생)의 순서를 알려줘.","2025-1학기 장바구니 수강신청 1차(재학생)은 2025년 1월 31일부터, 수강신청(재학생 1차)은 2025년 2월 5일부터, 교차수강신청(서울↔천안)은 2025년 2월 11일부터, 수강신청(신·편입생)은 2025년 2월 18일부터입니다. 순서는 장바구니 수강신청 1차(재학생) → 수강신청(재학생 1차) → 교차수강신청(서울↔천안) → 수강신청(신·편입생)입니다."
"2025-2학기 수강신청 정정 및 취소, 수강포기, 중간고사, 기말고사, 성적입력의 전체 기간은 언제부터 언제까지야?","2025-2학기 수강신청 정정 및 취소는 2025년 9월 1일부터 9월 7일까지, 수강포기는 2025년 9월 18일부터 9월 19일까지, 중간고사는 2025년 10월 20일부터 10월 26일까지, 기말고사는 2025년 12월 8일부터 12월 14일까지, 성적입력은 2025년 12월 9일부터 12월 28일까지입니다. 전체 기간은 2025년 9월 1일부터 12월 28일까지로 총 119일입니다."
"2025-1학기 중간강의평가, 기말강의평가, 성적입력, 성적확정 중 가장 빨리 시작하는 건 뭐야?","2025-1학기 중간강의평가는 2025년 4월 7일, 기말강의평가는 2025년 6월 2일, 성적입력은 2025년 6월 9일, 성적확정은 2025년 7월 10일에 시작합니다. 중간강의평가가 가장 빨리 시작합니다."
"2025-2학기 등록, 개강, 중간고사, 기말고사, 성적확정의 순서를 알려줘.","2025-2학기 등록은 2025년 8월 22일부터, 개강은 2025년 9월 1일, 중간고사는 2025년 10월 20일부터, 기말고사는 2025년 12월 8일부터, 성적확정은 2026년 1월 8일입니다. 순서는 등록 → 개강 → 중간고사 → 기말고사 → 성적확정입니다."
